Date,Open,High,Low,Close,Adj Close,Volume
2007-05-30,91.580002,91.599998,91.500000,91.599998,78.694878,1550
2007-05-31,91.580002,91.599998,91.580002,91.599998,78.694878,11200
2007-06-01,91.620003,91.620003,91.620003,91.620003,78.712029,1450
2007-06-04,91.639999,91.639999,91.639999,91.639999,78.729179,1050
2007-06-05,91.660004,91.680000,91.639999,91.639999,78.729179,3750
2007-06-06,91.639999,91.680000,91.639999,91.680000,78.763565,9750
2007-06-07,91.639999,91.660004,91.639999,91.660004,78.746414,12150
2007-06-08,91.680000,91.680000,91.620003,91.680000,78.763565,7850
2007-06-11,91.680000,91.720001,91.680000,91.720001,78.797928,2400
2007-06-12,91.720001,91.720001,91.639999,91.639999,78.729179,3900
2007-06-13,91.639999,91.720001,91.639999,91.720001,78.797928,3750
2007-06-14,91.760002,91.760002,91.760002,91.760002,78.832321,13400
2007-06-15,91.800003,91.839996,91.739998,91.839996,78.901062,1050
2007-06-18,91.820000,91.879997,91.800003,91.860001,78.918221,28000
2007-06-19,91.860001,91.860001,91.860001,91.860001,78.918221,850
2007-06-20,91.839996,91.900002,91.839996,91.879997,78.935371,3100
2007-06-21,91.860001,91.900002,91.860001,91.879997,78.935371,850
2007-06-22,91.900002,91.959999,91.900002,91.959999,79.004089,2200
2007-06-25,91.900002,91.919998,91.900002,91.919998,78.969757,29700
2007-06-26,91.919998,91.940002,91.900002,91.940002,78.986916,5100
2007-06-27,91.959999,91.959999,91.919998,91.919998,78.969757,8200
2007-06-28,91.959999,91.959999,91.959999,91.959999,79.004089,900
2007-06-29,91.959999,92.000000,91.940002,92.000000,79.038483,5650
2007-07-02,91.620003,91.699997,91.599998,91.620003,79.060921,13050
2007-07-03,91.559998,91.620003,91.559998,91.620003,79.060921,3000
2007-07-05,91.599998,91.620003,91.540001,91.620003,79.060921,5450
2007-07-06,91.639999,91.660004,91.639999,91.660004,79.095467,3800
2007-07-09,91.599998,91.680000,91.599998,91.680000,79.112686,3950
2007-07-10,91.660004,91.699997,91.660004,91.699997,79.129974,5250
2007-07-11,91.699997,91.699997,91.620003,91.699997,79.129974,9100
2007-07-12,91.720001,91.720001,91.680000,91.720001,79.147194,14700
2007-07-13,91.720001,91.739998,91.699997,91.739998,79.164474,13050
2007-07-16,91.779999,91.779999,91.720001,91.760002,79.181717,16150
2007-07-17,91.800003,91.800003,91.720001,91.800003,79.216248,46500
2007-07-18,91.760002,91.779999,91.699997,91.779999,79.198982,5450
2007-07-19,91.800003,91.820000,91.739998,91.800003,79.216248,13900
2007-07-20,91.860001,91.860001,91.839996,91.839996,79.250748,8000
2007-07-23,91.839996,91.860001,91.820000,91.839996,79.250748,6950
2007-07-24,91.839996,91.860001,91.820000,91.839996,79.250748,9350
2007-07-25,91.860001,91.879997,91.860001,91.860001,79.268013,9800
2007-07-26,91.860001,91.900002,91.800003,91.879997,79.285263,41050
2007-07-27,91.860001,92.000000,91.620003,91.919998,79.319824,153800
2007-07-30,91.900002,91.940002,91.839996,91.839996,79.250748,10300
2007-07-31,91.959999,91.959999,91.919998,91.959999,79.354309,54000
2007-08-01,91.580002,91.599998,91.500000,91.559998,79.328293,18650
2007-08-02,91.500000,91.580002,91.480003,91.580002,79.345695,49750
2007-08-03,91.620003,91.639999,91.540001,91.540001,79.311020,26200
2007-08-06,91.639999,91.660004,91.599998,91.639999,79.397652,22300
2007-08-07,91.660004,91.680000,91.580002,91.660004,79.414986,13950
2007-08-08,91.660004,91.680000,91.599998,91.620003,79.380318,19750
2007-08-09,91.680000,91.739998,91.660004,91.699997,79.449600,103150
2007-08-10,91.760002,91.779999,91.739998,91.760002,79.501602,112100
2007-08-13,91.760002,91.800003,91.739998,91.779999,79.518929,71800
2007-08-14,91.760002,91.800003,91.739998,91.760002,79.501602,130650
